id,store_id,display_name,store,latitude,longitude,address,city,state,zip,icon
95535,489,"Hammond Supercenter",walmart,30.501713,-90.494371,"2799 W Thomas St",Hammond,LA,70401,walmart-icon.png
95536,4129,"Ponchatoula Supercenter",walmart,30.443733,-90.453331,"1331 Hwy 51",Ponchatoula,LA,70454,walmart-icon.png
95537,961,"La Place Supercenter",walmart,30.0747668,-90.4981931,"1616 W Airline Hwy","La Place",LA,70068,walmart-icon.png
95538,1196,"New Roads Supercenter",walmart,30.688578,-91.4642,"460 Hospital Rd","New Roads",LA,70760,walmart-icon.png
95539,3616,"Amite Supercenter",walmart,30.729012,-90.529634,"1200 W Oak St",Amite,LA,70422,walmart-icon.png
95540,1016,"Thibodaux Supercenter",walmart,29.809444,-90.818343,"410 N Canal Blvd",Thibodaux,LA,70301,walmart-icon.png
95541,5464,"Thibodaux Neighborhood Market",walmart,29.774315,-90.818157,"224 W Main St",Thibodaux,LA,70301,walmart-icon.png
95542,7099,"Morgan City Neighborhood Market",walmart,29.7054279,-91.2005534,"1002 La Hwy 70","Morgan City",LA,70380,walmart-icon.png
95543,311,"Franklin Store",walmart,29.814155,-91.51306,"200 Northwest Blvd",Franklin,LA,70538,walmart-icon.png
95544,2913,"Boutte Supercenter",walmart,29.904678,-90.372369,"13001 Highway 90",Boutte,LA,70039,walmart-icon.png
95545,540,"Morgan City Supercenter",walmart,29.683712,-91.267157,"973 Highway 90 E","Morgan City",LA,70380,walmart-icon.png
95546,1342,"Kenner Supercenter",walmart,30.024946,-90.268094,"300 W Esplanade Ave",Kenner,LA,70065,walmart-icon.png
95547,3703,"Kenner Neighborhood Market",walmart,30.020403,-90.237608,"3520 Williams Blvd",Kenner,LA,70065,walmart-icon.png
95548,989,"Metairie Supercenter",walmart,30.003591,-90.229227,"8912 Veterans Memorial Blvd",Metairie,LA,70003,walmart-icon.png
95549,5774,"Houma Neighborhood Market",walmart,29.623667,-90.747928,"6411 W Park Ave",Houma,LA,70364,walmart-icon.png
95550,761,"Raceland Supercenter",walmart,29.691111,-90.554241,"4858 Highway 1",Raceland,LA,70394,walmart-icon.png
95551,542,"Houma Supercenter",walmart,29.607776,-90.751843,"1633 Martin Luther King Jr Blvd",Houma,LA,70360,walmart-icon.png
95552,5773,"New Iberia Neighborhood Market",walmart,30.001069,-91.797421,"1201 Parkview Drive","New Iberia",LA,70563,walmart-icon.png
95553,402,"Breaux Bridge Supercenter",walmart,30.293263,-91.910347,"1932 Rees St","Breaux Bridge",LA,70517,walmart-icon.png
95554,5832,"Mandeville Neighborhood Market",walmart,30.372529,-90.077311,"3009 E Causeway Approach",Mandeville,LA,70448,walmart-icon.png
95555,533,"New Iberia Supercenter",walmart,29.986171,-91.815233,"1205 E Admiral Doyle Dr","New Iberia",LA,70560,walmart-icon.png
95556,3042,"Covington Neighborhood Market",walmart,30.4720776,-90.0847276,"2800 N Hwy 190",Covington,LA,70433,walmart-icon.png
95557,541,"Covington Supercenter",walmart,30.443284,-90.078758,"880 N Highway 190",Covington,LA,70433,walmart-icon.png
95558,3483,"Houma Supercenter",walmart,29.584607,-90.692535,"933 Grand Caillou Rd",Houma,LA,70363,walmart-icon.png
95559,1353,"Harahan Supercenter",walmart,29.949489,-90.179499,"5110 Jefferson Hwy",Harahan,LA,70123,walmart-icon.png
95560,9894,"Metairie Pickup only",walmart,30.001871,-90.129076,"615 Veterans Boulevard",Metairie,LA,70005,walmart-icon.png
95638,2998,"Loma Linda Neighborhood Market",walmart,34.047122,-117.242268,"25755 Barton Rd","Loma Linda",CA,92354,walmart-icon.png
95641,1692,"Colton Supercenter",walmart,34.050112,-117.306233,"1120 S Mount Vernon Ave",Colton,CA,92324,walmart-icon.png
95644,1693,"Redlands Store",walmart,34.065136,-117.222895,"2050 W Redlands Blvd",Redlands,CA,92373,walmart-icon.png
95647,2028,"Riverside Supercenter",walmart,33.93707,-117.455339,"5200 Van Buren Blvd",Riverside,CA,92503,walmart-icon.png
95651,1862,"Rialto Supercenter",walmart,34.0767,-117.3725,"1366 S Riverside Ave",Rialto,CA,92376,walmart-icon.png
95654,5663,"Jurupa Valley Neighborhood Market",walmart,33.974237,-117.4768763,"8844 Limonite Avenue","Jurupa Valley",CA,92509,walmart-icon.png
95672,1914,"Highland Supercenter",walmart,34.137744,-117.194853,"4210 East Highland Avenue",Highland,CA,92346,walmart-icon.png
95678,3131,"Rialto Neighborhood Market",walmart,34.122765,-117.374193,"300 West Baseline Rd",Rialto,CA,92376,walmart-icon.png
95684,1756,"Fontana Store",walmart,34.105588,-117.428136,"17251 Foothill Blvd",Fontana,CA,92335,walmart-icon.png
95687,3276,"San Bernardino Store",walmart,34.165511,-117.336068,"4001 Hallmark Pkwy","San Bernardino",CA,92407,walmart-icon.png
95689,5360,"Titusville Supercenter",walmart,41.633346,-79.698841,"11415 Hydetown Rd",Titusville,PA,16354,walmart-icon.png
95693,1922,"Rancho Cucamonga Store",walmart,34.10349,-117.531484,"12549 Foothill Blvd","Rancho Cucamonga",CA,91739,walmart-icon.png
95703,5691,"Upland Neighborhood Market",walmart,34.108471,-117.62971,"1445 East Foothill Blvd",Upland,CA,91786,walmart-icon.png
95706,3796,"Ontario Supercenter",walmart,34.082664,-117.672495,"1333 North Mountain Avenue",Ontario,CA,91762,walmart-icon.png
95716,3253,"Edinboro Supercenter",walmart,41.87676,-80.174154,"108 Washington Towne Blvd N",Edinboro,PA,16412,walmart-icon.png
95717,1992,"Upland Store",walmart,34.105919,-117.678367,"1540 W Foothill Blvd",Upland,CA,91786,walmart-icon.png
95741,4340,"Hesperia Supercenter",walmart,34.424199,-117.370036,"13401 Main St",Hesperia,CA,92345,walmart-icon.png
95749,1588,"Victorville Supercenter",walmart,34.465211,-117.354392,"11896 Amargosa Rd",Victorville,CA,92392,walmart-icon.png
95849,2909,"Corry Supercenter",walmart,41.934047,-79.61228,"961 E Columbus Ave",Corry,PA,16407,walmart-icon.png
